Register,raw_uint16,raw_int16,hex,best_guess_interpretation,Notes
30000,512,512,0x0200,Unknown — possible device status/mode or protocol version,"Constant 512 = 0x0200; could be a status word or device model code"
30002,180,180,0x00b4,Unknown — possibly battery pack count or firmware sub-field,"Value 180=0xB4; adjacent to battery_power (30001) and likely part of device info block"
30003,182,182,0x00b6,Unknown — possibly rated capacity or device config,"Value 182; adjacent to 30002"
30004,2364,2364,0x093c,Unknown — possibly rated power (W) or energy capacity,"2364 × 0.1 = 236.4 (W?) or 2364 = some config value"
30005,3,3,0x0003,Unknown — possibly number of packs or a mode flag,"Value 3 could indicate 2 packs connected or a version flag"
30028,514,514,0x0202,Unknown — possibly a secondary status word,"0x0202 mirrors 30000 structure (0x0200); likely another status/flag register"
30029,65535,-1,0xffff,Unknown — likely 0xFFFF = invalid/unused sentinel,"0xFFFF is commonly used as 'not applicable' or 'uninitialized' in Modbus devices"
30036,219,219,0x00db,Unknown,"No obvious interpretation; could be a secondary temperature or config value"
30102,3138,3138,0x0c42,Possible pack 1 max cell voltage (×0.001 = 3.138 V) or temperature,"3138×0.001=3.138V — plausible cell voltage; or could be a version/info field"
30103,3131,3131,0x0c3b,Possible pack 1 min cell voltage (×0.001 = 3.131 V),"Pair with 30102; both in cell-voltage range"
30104,1730,1730,0x06c2,Possible PV string 1 voltage (×0.1 = 173.0 V),"173V is a plausible PV string voltage"
30105,1710,1710,0x06ae,Possible PV string 2 voltage (×0.1 = 171.0 V),"171V plausible PV string voltage; pair with 30104"
30107,248,248,0x00f8,Possible PV string 1 or DC current (×0.1 = 24.8 A),"Could be DC input current"
30108,182,182,0x00b6,Possible PV string 2 current or DC current (×0.1 = 18.2 A),"Pair with 30107"
30201,18,18,0x0012,Possible firmware sub-version or communication module version sub-field,"Adjacent to ems_version (30200=147); could be patch/sub version"
30203,106,106,0x006a,Possible firmware sub-version (adjacent to vms_version 30202),"30202=115 (vms), 30203=106; pair"
30205,104,104,0x0068,Possible firmware sub-version (adjacent to bms_version 30204),"30204=116 (bms), 30205=104; pair — could be minor version"
30212,2,2,0x0002,Unknown — possibly number of connected packs or a mode flag,"Value 2 in the WiFi/cloud/BT status block area (30210–30214)"
30400,49320,-16216,0xc0a8,IP address bytes — 192.168 (high word of device IP),"0xC0=192 0xA8=168; combine with 30401 → device IP 192.168.181.154"
30401,46490,-19046,0xb59a,IP address bytes — 181.154 (low word of device IP),"0xB5=181 0x9A=154 → confirms 192.168.181.154 = scan target IP"
30402,49320,-16216,0xc0a8,IP address bytes — 192.168 (high word of gateway/DNS IP),"0xC0A8 = same subnet as device"
30403,46337,-19199,0xb501,IP address bytes — 181.1 (low word → 192.168.181.1 = likely gateway),"0xB5=181 0x01=1"
32100,5127,5127,0x1407,In README only for e_v12 (battery_voltage ×0.01 = 51.27V) — present on D too!,"README lists this only for e_v12; but scan shows valid value → Venus D may share this register"
32104,11,11,0x000b,In README only for e_v12 (battery_soc ×1 = 11%) — present on D too!,"README: d uses 34002 for SOC; but 32104=11 here vs 34002=109 (10.9%) — close but different scale/source"
32106,500,500,0x01f4,Possible max charge power or set charge power (W),"500W; register is not in README for D; could be a limit or setpoint"
32107,500,500,0x01f4,Possible max discharge power or set discharge power (W),"500W; symmetric with 32106; likely charge/discharge power setpoints"
32108,172,172,0x00ac,Unknown — possibly a temperature or current value,"172×0.1=17.2°C or 172×0.01=1.72A"
32109,2,2,0x0002,Unknown — possibly inverter state sub-field or mode,"Value 2"
32110,3,3,0x0003,Unknown — possibly pack count or connection status,"Value 3; in the same block as 32109"
32111,2,2,0x0002,Unknown,"Value 2; symmetric with 32109"
32201,2398,2398,0x095e,Likely AC current (×0.01 = 23.98 A) — README only lists for e_v12 but present on D,"Pair with 32200=2398 (AC voltage 239.8V); consistent"
34000,4982,4982,0x1376,Likely pack 1 total voltage (×0.01 = 49.82 V),"Not in README for D explicitly; but value is very consistent with a pack voltage"
34001,0,0,0x0000,Likely pack 1 current (0 A),"Paired with 34000 pack voltage; 0 = no current flow at measurement time"
34004,0,0,0x0000,Unknown — possibly pack 1 power (0 W),"Adjacent to soc/cycle registers; zero at time of scan"
34005,3119,3119,0x0c2f,Likely pack 1 max cell voltage (×0.001 = 3.119 V),"3.119V is a very typical LFP cell voltage; pair with 34006"
34006,3112,3112,0x0c28,Likely pack 1 min cell voltage (×0.001 = 3.112 V),"3.112V LFP cell; spread = 7mV = healthy pack"
34007,0,0,0x0000,Unknown,"Zero; filler or unused"
34008,0,0,0x0000,Unknown,"Zero"
34009,0,0,0x0000,Unknown,"Zero"
34010,116,116,0x0074,Likely pack 1 ambient/board temperature (×0.1 = 11.6 °C),"11.6°C plausible for battery ambient; compare pack2 at 34110=116 → same"
34011,246,246,0x00f6,Likely pack 1 max cell temperature (×0.1 = 24.6 °C),"24.6°C plausible; compare pack2 at 34111=235 → 23.5°C"
34012,179,179,0x00b3,Likely pack 1 cell temperature sensor 1 (×0.1 = 17.9 °C),"LFP cell temp sensor"
34013,170,170,0x00aa,Likely pack 1 cell temperature sensor 2 (×0.1 = 17.0 °C),""
34014,170,170,0x00aa,Likely pack 1 cell temperature sensor 3 (×0.1 = 17.0 °C),""
34015,168,168,0x00a8,Likely pack 1 cell temperature sensor 4 (×0.1 = 16.8 °C),""
34016,168,168,0x00a8,Likely pack 1 cell temperature sensor 5 (×0.1 = 16.8 °C),""
34017,0,0,0x0000,Unknown — possibly pack 1 fault/alarm bits,"Zero = no fault"
35011,214,214,0x00d6,Likely min cell temperature (×0.1 = 21.4 °C),"Adjacent to max_cell_temperature (35010=216=21.6°C); likely min counterpart"
35110,576,576,0x0240,Unknown — possibly rated capacity (Wh or 0.1Wh),"576×0.1=57.6 or 576 raw; could be battery capacity register"
35111,500,500,0x01f4,Possibly max charge power limit (W) = 500W,"500W is a typical conservative charge setpoint"
35112,500,500,0x01f4,Possibly max discharge power limit (W) = 500W,"Symmetric with 35111"
37000,1,1,0x0001,Unknown — possibly grid-tie status or inverter enable flag,"Value 1 = enabled/connected?"
37001,0,0,0x0000,Unknown,"Zero"
37002,0,0,0x0000,Unknown","Zero"
37003,0,0,0x0000,Unknown","Zero"
37005,90,90,0x005a,Possible grid frequency or backup voltage threshold (×0.1 = 9.0 Hz?) — unlikely,"90×0.1=9.0 or 90 raw; unclear"
37006,252,252,0x00fc,Unknown — possibly a power or temperature value (×0.1 = 25.2)","25.2°C or 25.2W?"
37009,0,0,0x0000,Unknown","Zero"
37010,0,0,0x0000,Unknown","Zero"
37011,0,0,0x0000,Unknown","Zero"
37012,116,116,0x0074,Unknown — possibly temperature (×0.1 = 11.6°C) mirrors 34010","Same value as 34010; may be a duplicate read or related sensor"
37013,0,0,0x0000,Unknown","Zero"
37014,0,0,0x0000,Unknown","Zero"
37015,0,0,0x0000,Unknown","Zero"
37016,2382,2382,0x094e,Possible daily energy counter or fault status field","2382; unclear unit; 23.82 kWh (×0.01)?"
37017,0,0,0x0000,Unknown","Zero"
37018,0,0,0x0000,Unknown","Zero"
37019,0,0,0x0000,Unknown","Zero"
37020,0,0,0x0000,Unknown","Zero"
37021,0,0,0x0000,Unknown","Zero"
37022,544,544,0x0220,Unknown — possibly PV power or DC link value","544W (×1) or 54.4 (×0.1)?"
37023,0,0,0x0000,Unknown","Zero"
37024,0,0,0x0000,Unknown","Zero"
